Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.02     64.16     0.02        4     0.00     0.00  __gnu_cxx::new_allocator<double>::new_allocator()
  0.02     64.18     0.02        1     0.02     0.05  double* std::uninitialized_copy<double const*, double*>(double const*, double const*, double*)
  0.02     64.19     0.01  9027760     0.00     0.00  std::_Iter_base<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, true>::_S_base(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >)
  0.02     64.20     0.01  4513890     0.00     0.00  std::_Iter_base<double*, false>::_S_base(double*)
  0.02     64.21     0.01  4513890     0.00     0.00  std::_Niter_base<double*>::iterator_type std::__niter_base<double*>(double*)
  0.02     64.22     0.01   941192     0.00     0.00  std::vector<bool, std::allocator<bool> >::size() const
  0.02     64.23     0.01   941192     0.00     0.00  std::operator-(std::_Bit_iterator_base const&, std::_Bit_iterator_base const&)
  0.02     64.24     0.01        8     0.00     0.00  int* std::__copy_move_a2<true, int*, int*>(int*, int*, int*)
  0.02     64.25     0.01        4     0.00     0.00  std::vector<double, std::allocator<double> >::max_size() const
  0.02     64.26     0.01        2     0.01     0.01  std::_Niter_base<double const*>::iterator_type std::__niter_base<double const*>(double const*)
  0.02     64.27     0.01        1     0.01     0.03  Solver::init_val(double, std::pair<double, double>*)
  0.02     64.28     0.01        1     0.01     0.01  __gnu_cxx::new_allocator<unsigned long>::max_size() const
  0.02     64.29     0.01        1     0.01     0.01  std::_Bvector_base<std::allocator<bool> >::~_Bvector_base()
  0.02     64.30     0.01        1     0.01     0.01  std::_Bit_iterator_base::_M_incr(long)
  0.01     64.30     0.01        2     0.00     0.00  double* std::__uninitialized_copy_a<std::move_iterator<double*>, double*, double>(std::move_iterator<double*>, std::move_iterator<double*>, double*, std::allocator<double>&)
  0.00     64.30     0.00  4513888     0.00     0.00  __gnu_cxx::new_allocator<double>::max_size() const
  0.00     64.30     0.00  4513884     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator() const
  0.00     64.30     0.00  4513884     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_allocate(unsigned long)
  0.00     64.30     0.00  4513881     0.00     0.00  double* std::__copy_move_a<false, double const*, double*>(double const*, double const*, double*)
  0.00     64.30     0.00  4513880     0.00     0.00  double* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*, double>(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*, std::allocator<double>&)
  0.00     64.30     0.00  1882384     0.00     0.00  std::_Bit_const_iterator::_Bit_const_iterator(std::_Bit_iterator const&)
  0.00     64.30     0.00   941192     0.00     0.00  std::vector<bool, std::allocator<bool> >::begin() const
  0.00     64.30     0.00   941192     0.00     0.00  std::vector<bool, std::allocator<bool> >::at(unsigned long)
  0.00     64.30     0.00    40000     0.00     0.00  std::operator&(std::_Ios_Fmtflags, std::_Ios_Fmtflags)
  0.00     64.30     0.00    20000     0.00     0.00  std::ios_base::setf(std::_Ios_Fmtflags, std::_Ios_Fmtflags)
  0.00     64.30     0.00    20000     0.00     0.00  std::setprecision(int)
  0.00     64.30     0.00    20000     0.00     0.00  std::operator&=(std::_Ios_Fmtflags&, std::_Ios_Fmtflags)
  0.00     64.30     0.00    20000     0.00     0.00  std::operator~(std::_Ios_Fmtflags)
  0.00     64.30     0.00    20000     0.00     0.00  std::operator|=(std::_Ios_Fmtflags&, std::_Ios_Fmtflags)
  0.00     64.30     0.00    20000     0.00     0.00  std::operator|(std::_Ios_Fmtflags, std::_Ios_Fmtflags)
  0.00     64.30     0.00    17584     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
  0.00     64.30     0.00       64     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.00     64.30     0.00       40     0.00     0.00  std::_Iter_base<int*, false>::_S_base(int*)
  0.00     64.30     0.00       40     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00     64.30     0.00       40     0.00     0.00  std::_Niter_base<int*>::iterator_type std::__niter_base<int*>(int*)
  0.00     64.30     0.00       32     0.00     0.00  std::_Iter_base<int const*, false>::_S_base(int const*)
  0.00     64.30     0.00       24     0.00     0.00  __gnu_cxx::new_allocator<int>::max_size() const
  0.00     64.30     0.00       24     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.00     64.30     0.00       24     0.00     0.00  std::vector<Electrodes, std::allocator<Electrodes> >::operator[](unsigned long)
  0.00     64.30     0.00       24     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.00     64.30     0.00       24     0.00     0.00  void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&)
  0.00     64.30     0.00       16     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00     64.30     0.00       16     0.00     0.00  std::move_iterator<int*>::base() const
  0.00     64.30     0.00       16     0.00     0.00  std::initializer_list<int>::begin() const
  0.00     64.30     0.00       16     0.00     0.00  std::vector<int, std::allocator<int> >::max_size() const
  0.00     64.30     0.00       16     0.00     0.00  std::_Iter_base<std::move_iterator<int*>, true>::_S_base(std::move_iterator<int*>)
  0.00     64.30     0.00       16     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long)
