Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     59.30     0.00        1     0.00     0.00  double* std::__uninitialized_copy<true>::__uninit_copy<double const*, double*>(double const*, double const*, double*)
  0.00     59.30     0.00        1     0.00     0.00  double* std::__uninitialized_copy<true>::__uninit_copy<std::move_iterator<double*>, double*>(std::move_iterator<double*>, std::move_iterator<double*>, double*)
  0.00     59.30     0.00        1     0.00     0.00  void std::__uninitialized_default_n_1<false>::__uninit_default_n<Electrodes*, unsigned long>(Electrodes*, unsigned long)
  0.00     59.30     0.00        1     0.00     0.01  void std::__uninitialized_default_n_1<true>::__uninit_default_n<double*, unsigned long>(double*, unsigned long)
  0.00     59.30     0.00        1     0.00     0.00  std::vector<Electrodes, std::allocator<Electrodes> >::_M_default_initialize(unsigned long)
  0.00     59.30     0.00        1     0.00     0.00  std::vector<Electrodes, std::allocator<Electrodes> >::vector(unsigned long, std::allocator<Electrodes> const&)
  0.00     59.30     0.00        1     0.00     0.00  std::vector<Electrodes, std::allocator<Electrodes> >::~vector()
  0.00     59.30     0.00        1     0.00     0.01  std::vector<bool, std::allocator<bool> >::_M_initialize(unsigned long)
  0.00     59.30     0.00        1     0.00     0.40  std::vector<bool, std::allocator<bool> >::vector(unsigned long, std::allocator<bool> const&)
  0.00     59.30     0.00        1     0.00     0.40  std::vector<bool, std::allocator<bool> >::vector(unsigned long, bool const&, std::allocator<bool> const&)
  0.00     59.30     0.00        1     0.00     0.01  std::vector<double, std::allocator<double> >::_M_default_append(unsigned long)
  0.00     59.30     0.00        1     0.00     0.00  void std::vector<double, std::allocator<double> >::_M_range_initialize<double const*>(double const*, double const*, std::forward_iterator_tag)
  0.00     59.30     0.00        1     0.00     0.00  std::vector<double, std::allocator<double> >::vector()
  0.00     59.30     0.00        1     0.00     0.00  std::vector<double, std::allocator<double> >::vector(std::initializer_list<double>, std::allocator<double> const&)
  0.00     59.30     0.00        1     0.00     0.00  std::vector<double, std::allocator<double> >::~vector()
  0.00     59.30     0.00        1     0.00     0.00  std::iterator_traits<double const*>::difference_type std::__distance<double const*>(double const*, double const*, std::random_access_iterator_tag)
  0.00     59.30     0.00        1     0.00     0.00  double* std::__copy_move_a<false, double const*, double*>(double const*, double const*, double*)
  0.00     59.30     0.00        1     0.00     0.00  double* std::__copy_move_a<true, double*, double*>(double*, double*, double*)
  0.00     59.30     0.00        1     0.00     0.00  double* std::__copy_move_a2<false, double const*, double*>(double const*, double const*, double*)
  0.00     59.30     0.00        1     0.00     0.00  double* std::__copy_move_a2<true, double*, double*>(double*, double*, double*)
  0.00     59.30     0.00        1     0.00     0.00  double* std::uninitialized_copy<double const*, double*>(double const*, double const*, double*)
